HEX,R,G,B,Name
#787878,120,120,120,墙(wall)
#B47878,180,120,120,建筑(building;edifice)
#06E6E6,6,230,230,天空(sky)
#503232,80,50,50,地板(floor;flooring)
#04C803,4,200,3,树(tree)
#787850,120,120,80,天花板(ceiling)
#8C8C8C,140,140,140,路;路线(road;route)
#CC05FF,204,5,255,床(bed)
#E6E6E6,230,230,230,窗户(windowpane;window)
#04FA07,4,250,7,草(grass)
#E005FF,224,5,255,橱柜(cabinet)
#EBFF07,235,255,7,人行道;铺路(sidewalk;pavement)
#96053D,150,5,61,人;个体(person;individual;someone;somebody;mortal;soul)
#787846,120,120,70,土地;地面(earth;ground)
#08FF33,8,255,51,门;双门(door;double;door)
#FF0652,255,6,82,桌子(table)
#8FFF8C,143,255,140,山(mountain;mount)
#CCFF04,204,255,4,植物(plant;flora;plant;life)
#FF3307,255,51,7,窗帘(curtain;drape;drapery;mantle;pall)
#CC4603,204,70,3,椅子(chair)
#0066C8,0,102,200,汽车(car;auto;automobile;machine;motorcar)
#3DE6FA,61,230,250,水(water)
#FF0633,255,6,51,绘画;图片(painting;picture)
#0B66FF,11,102,255,沙发(sofa;couch;lounge)
#FF0747,255,7,71,架子(shelf)
#FF09E0,255,9,224,房子(house)
#0907E6,9,7,230,海(sea)
#DCDCDC,220,220,220,镜子(mirror)
#FF095C,255,9,92,地毯(rug;carpet;carpeting)
#7009FF,112,9,255,田野(field)
#08FFD6,8,255,214,扶手椅(armchair)
#07FFE0,7,255,224,座位(seat)
#FFB806,255,184,6,围栏(fence;fencing)
#0AFF47,10,255,71,书桌(desk)
#FF290A,255,41,10,岩石;石头(rock;stone)
#07FFFF,7,255,255,衣柜(wardrobe;closet;press)
#E0FF08,224,255,8,灯(lamp)
#6608FF,102,8,255,浴缸(bathtub;bathing;tub;bath;tub)
#FF3D06,255,61,6,栏杆(railing;rail)
#FFC207,255,194,7,靠垫(cushion)
#FF7A08,255,122,8,底座(base;pedestal;stand)
#00FF14,0,255,20,盒子(box)
#FF0829,255,8,41,柱子(column;pillar)
#FF0599,255,5,153,招牌(signboard;sign)
#0633FF,6,51,255,抽屉柜(chest;of;drawers;chest;bureau;dresser)
#EB0CFF,235,12,255,柜台(counter)
#A09614,160,150,20,沙子(sand)
#00A3FF,0,163,255,水槽(sink)
#8C8C8C,140,140,140,摩天大楼(skyscraper)
#FA0A0F,250,10,15,壁炉(fireplace;hearth;open;fireplace)
#14FF00,20,255,0,冰箱(refrigerator;icebox)
#1FFF00,31,255,0,看台(grandstand;covered;stand)
#FF1F00,255,31,0,小径(path)
#FFE000,255,224,0,楼梯(stairs;steps)
#99FF00,153,255,0,跑道(runway)
#0000FF,0,0,255,展示柜(case;display;case;showcase;vitrine)
#FF4700,255,71,0,台球桌(pool;table;billiard;table;snooker;table)
#00EBFF,0,235,255,枕头(pillow)
#00ADFF,0,173,255,纱门(screen;door;screen)
#1F00FF,31,0,255,楼梯(stairway;staircase)
#0BC8C8,11,200,200,河流(river)
#FF5200,255,82,0,桥(bridge;span)
#00FFF5,0,255,245,书架(bookcase)
#003DFF,0,61,255,百叶窗(blind;screen)
#00FF70,0,255,112,茶几(coffee;table;cocktail;table)
#00FF85,0,255,133,马桶(toilet;can;commode;crapper;pot;potty;stool;throne)
#FF0000,255,0,0,花(flower)
#FFA300,255,163,0,书(book)
#FF6600,255,102,0,山丘(hill)
#C2FF00,194,255,0,长凳(bench)
#008FFF,0,143,255,台面(countertop)
#33FF00,51,255,0,炉子(stove;kitchen;stove;range;kitchen;range;cooking;stove)
#0052FF,0,82,255,棕榈树(palm;palm;tree)
#00FF29,0,255,41,厨房岛(kitchen;island)
#00FFAD,0,255,173,电脑(computer;computing;machine;computing;device;data;processor;electronic;computer;information;processing;system)
#0A00FF,10,0,255,旋转椅(swivel;chair)
#ADFF00,173,255,0,船(boat)
#00FF99,0,255,153,酒吧(bar)
#FF5C00,255,92,0,街机(arcade;machine)
#FF00FF,255,0,255,茅屋(hovel;hut;hutch;shack;shanty)
#FF00F5,255,0,245,公共汽车(bus;autobus;coach;charabanc;double-decker;jitney;motorbus;motorcoach;omnibus;passenger;vehicle)
#FF0066,255,0,102,毛巾(towel)
#FFAD00,255,173,0,光源(light;light;source)
#FF0014,255,0,20,卡车(truck;motortruck)
#FFB8B8,255,184,184,塔(tower)
#001FFF,0,31,255,吊灯(chandelier;pendant;pendent)
#00FF3D,0,255,61,遮阳篷(awning;sunshade;sunblind)
#0047FF,0,71,255,路灯(streetlight;street;lamp)
#FF00CC,255,0,204,电话亭(booth;cubicle;stall;kiosk)
#00FFC2,0,255,194,电视(television;television;receiver;television;set;tv;tv;set;idiot;box;boob;tube;telly;goggle;box)
#00FF52,0,255,82,飞机(airplane;aeroplane;plane)
#000AFF,0,10,255,泥土道(dirt;track)
#0070FF,0,112,255,服装(apparel;wearing;apparel;dress;clothes)
#3300FF,51,0,255,杆子(pole)
#00C2FF,0,194,255,土地;地面(land;ground;soil)
#007AFF,0,122,255,扶手栏(bannister;banister;balustrade;balusters;handrail)
#00FFA3,0,255,163,自动扶梯(escalator;moving;staircase;moving;stairway)
#FF9900,255,153,0,脚踏凳(ottoman;pouf;pouffe;puff;hassock)
#00FF0A,0,255,10,瓶子(bottle)
#FF7000,255,112,0,自助餐柜(buffet;counter;sideboard)
#8FFF00,143,255,0,海报(poster;posting;placard;notice;bill;card)
#5200FF,82,0,255,舞台(stage)
#A3FF00,163,255,0,货车(van)
#FFEB00,255,235,0,船(ship)
#08B8AA,8,184,170,喷泉(fountain)
#8500FF,133,0,255,传送带(conveyer;belt;conveyor;belt;conveyer;conveyor;transporter)
#00FF5C,0,255,92,天篷(canopy)
#B800FF,184,0,255,洗衣机(washer;automatic;washer;washing;machine)
#FF001F,255,0,31,玩具(plaything;toy)
#00B8FF,0,184,255,游泳池(swimming;pool;swimming;bath;natatorium)
#00D6FF,0,214,255,凳子(stool)
#FF0070,255,0,112,桶(barrel;cask)
#5CFF00,92,255,0,篮子(basket;handbasket)
#00E0FF,0,224,255,瀑布(waterfall;falls)
#70E0FF,112,224,255,帐篷(tent;collapsible;shelter)
#46B8A0,70,184,160,包(bag)
#A300FF,163,0,255,迷你摩托车(minibike;motorbike)
#9900FF,153,0,255,摇篮(cradle)
#47FF00,71,255,0,烤箱(oven)
#FF00A3,255,0,163,球(ball)
#FFCC00,255,204,0,食物(food;solid;food)
#FF008F,255,0,143,台阶(step;stair)
#00FFEB,0,255,235,储罐(tank;storage;tank)
#85FF00,133,255,0,商标(trade;name;brand;name;brand;marque)
#FF00EB,255,0,235,微波炉(microwave;microwave;oven)
#F500FF,245,0,255,花盆(pot;flowerpot)
#FF007A,255,0,122,动物(animal;animate;being;beast;brute;creature;fauna)
#FFF500,255,245,0,自行车(bicycle;bike;wheel;cycle)
#0ABED4,10,190,212,湖泊(lake)
#D6FF00,214,255,0,洗碗机(dishwasher;dish;washer;dishwashing;machine)
#00CCFF,0,204,255,银幕(screen;silver;screen;projection;screen)
#1400FF,20,0,255,毯子(blanket;cover)
#FFFF00,255,255,0,雕塑(sculpture)
#0099FF,0,153,255,抽油烟机(hood;exhaust;hood)
#0029FF,0,41,255,壁灯(sconce)
#00FFCC,0,255,204,花瓶(vase)
#2900FF,41,0,255,交通灯(traffic;light;traffic;signal;stoplight)
#29FF00,41,255,0,托盘(tray)
#AD00FF,173,0,255,垃圾桶(ashcan;trash;can;garbage;can;wastebin;ash;bin;ash-bin;ashbin;dustbin;trash;barrel;trash;bin)
#00F5FF,0,245,255,风扇(fan)
#4700FF,71,0,255,码头(pier;wharf;wharfage;dock)
#7A00FF,122,0,255,显示器(crt;screen)
#00FFB8,0,255,184,盘子(plate)
#005CFF,0,92,255,监视器(monitor;monitoring;device)
#B8FF00,184,255,0,布告栏(bulletin;board;notice;board)
#0085FF,0,133,255,淋浴(shower)
#FFD600,255,214,0,散热器(radiator)
#19C2C2,25,194,194,玻璃杯(glass;drinking;glass)
#66FF00,102,255,0,时钟(clock)
#5C00FF,92,0,255,旗帜(flag)
